game,category,game+category,TAS_time(seconds)
Castle of Illusion: Starring Mickey Mouse,Any%,Castle of Illusion: Starring Mickey Mouse - Any%,706.53
Astro Robo Sasa,Any%,Astro Robo Sasa - Any%,289.82
Hudson Hawk,Any%,Hudson Hawk - Any%,423.88
The Legend of Zelda,Swordless Challenge,The Legend of Zelda - Swordless Challenge,1479.71
Pokémon: Emerald ,Any%,Pokémon: Emerald  - Any%,7953.24
Tony Hawk's Pro Skater 2,Any%,Tony Hawk's Pro Skater 2 - Any%,301.43
An American Tail: Fievel Goes West,Any%,An American Tail: Fievel Goes West - Any%,1030.0
Golden Axe,Any%,Golden Axe - Any%,295.93
Cybernoid: The Fighting Machine,Any%,Cybernoid: The Fighting Machine - Any%,278.36
Beauty and the Beast,Any%,Beauty and the Beast - Any%,994.98
The Adventure of Little Ralph,Any%,The Adventure of Little Ralph - Any%,1923.18
The Ninja Warriors,Any%,The Ninja Warriors - Any%,1726.89
Prince of Persia 2,Any%,Prince of Persia 2 - Any%,558.85
Guilty Gear X: Advance Edition,Any%,Guilty Gear X: Advance Edition - Any%,237.66
Gunstar Heroes,Any%,Gunstar Heroes - Any%,1860.33
Super Metroid,low%,Super Metroid - low%,2792.02
Super Metroid,"low%, Ice Beam","Super Metroid - low%, Ice Beam",2557.13
Super Metroid,"low%, Speedbooster","Super Metroid - low%, Speedbooster",2658.62
Pocket Monster,Any%,Pocket Monster - Any%,477.7
"Ed, Edd n Eddy: The Mis-Edventures",Any%,"Ed, Edd n Eddy: The Mis-Edventures - Any%",994.02
Lucky Luke: Desperado Train,100%,Lucky Luke: Desperado Train - 100%,1712.16
Nuts & Milk,Any%,Nuts & Milk - Any%,309.85
Super Mario 64,1 key,Super Mario 64 - 1 key,261.3
Super Mario 64,0 stars,Super Mario 64 - 0 stars,302.25
Super Mario 64,1 star,Super Mario 64 - 1 star,402.65
Super Mario 64,16 stars,Super Mario 64 - 16 stars,908.0
Jurassic Park Part 2: The Chaos Continues,Any%,Jurassic Park Part 2: The Chaos Continues - Any%,1400.04
Rolan's Curse,game end glitch,Rolan's Curse - game end glitch,263.4
Wolverine,warps,Wolverine - warps,376.18
Shantae,100%,Shantae - 100%,4755.18
Gomola Speed,Any%,Gomola Speed - Any%,765.34
Zelda II: The Adventure of Link,warpless,Zelda II: The Adventure of Link - warpless,2726.04
Final Fight,Any%,Final Fight - Any%,811.15
Track & Field II,Any%,Track & Field II - Any%,1578.47
Mega Man X2,100%,Mega Man X2 - 100%,1977.64
Mega Man X2,"best ending, no upgrades","Mega Man X2 - best ending, no upgrades",2031.62
Mega Man X2,all upgrades,Mega Man X2 - all upgrades,1881.83
The Bugs Bunny Birthday Blowout,Any%,The Bugs Bunny Birthday Blowout - Any%,1544.26
Muramasa: The Demon Blade,Kisuke,Muramasa: The Demon Blade - Kisuke,3829.15
Mega Man X3,Any%,Mega Man X3 - Any%,2274.5
Classic Kong Complete,Any%,Classic Kong Complete - Any%,114.71
Mario Kart 64,Any%,Mario Kart 64 - Any%,1233.32
Mega Man Legends,Any%,Mega Man Legends - Any%,3164.93
The Adventures of Rocky and Bullwinkle and Friends,Any%,The Adventures of Rocky and Bullwinkle and Friends - Any%,916.37
Mega Man X3,100%,Mega Man X3 - 100%,2536.24
Super C,1 player,Super C - 1 player,710.4
Drake & Josh,Any%,Drake & Josh - Any%,1450.52
Pokémon Adventure,Any%,Pokémon Adventure - Any%,230.09
Soul Blazer,Any%,Soul Blazer - Any%,5373.72
Tear Ring Saga: Yutona Eiyū Senki,Any%,Tear Ring Saga: Yutona Eiyū Senki - Any%,11621.35
The Legend of Zelda,Any%,The Legend of Zelda - Any%,1337.53
Wolfenstein 3D,Episode 4,Wolfenstein 3D - Episode 4,160.73
Bible Adventures,Any%,Bible Adventures - Any%,1095.03
The Lucky Dime Caper starring Donald Duck,Any%,The Lucky Dime Caper starring Donald Duck - Any%,1113.01
The Legend of Zelda: The Minish Cap,Any%,The Legend of Zelda: The Minish Cap - Any%,6002.18
Rockman EXE WS,Any%,Rockman EXE WS - Any%,684.95
Prince of Persia: The Sands of Time,100%,Prince of Persia: The Sands of Time - 100%,4456.72
Bubble Ghost,Any%,Bubble Ghost - Any%,284.22
Airlock,Any%,Airlock - Any%,110.76
Castlevania: Aria of Sorrow,all souls,Castlevania: Aria of Sorrow - all souls,1026.41
Spider-Man 2: Enter: Electro,Any%,Spider-Man 2: Enter: Electro - Any%,1334.93
Bible Buffet,Any%,Bible Buffet - Any%,213.28
Mega Man III,Any%,Mega Man III - Any%,1388.79
The Flintstones: The Rescue of Dino & Hoppy,Any%,The Flintstones: The Rescue of Dino & Hoppy - Any%,812.54
Wolverine,warpless,Wolverine - warpless,477.46
Wolverine,Any%,Wolverine - Any%,490.94
F-Zero X,"Jack Cup, Time Trial","F-Zero X - Jack Cup, Time Trial",429.37
Ristar,Bonus Stages,Ristar - Bonus Stages,268.51
The Ninja,Any%,The Ninja - Any%,316.54
Shinobi,maximum kills,Shinobi - maximum kills,701.42
Majyuuou,best ending,Majyuuou - best ending,973.4
Mega Man X3,all stages,Mega Man X3 - all stages,2082.53
Rockman & Forte: Mirai Kara no Chousensha,Rockman,Rockman & Forte: Mirai Kara no Chousensha - Rockman,1039.61
Mega Man X,100%,Mega Man X - 100%,1987.13
Zombies Ate My Neighbors,2 players,Zombies Ate My Neighbors - 2 players,1847.77
Stuart Little 2,Any%,Stuart Little 2 - Any%,1378.18
Mini Putt,Any%,Mini Putt - Any%,414.17
Duke Nukem: Episode 2 - Mission Moonbase,Any%,Duke Nukem: Episode 2 - Mission Moonbase - Any%,416.82
Ucchan Nanchan no Honō no Challenge: Denryū IraIra Bō,Any%,Ucchan Nanchan no Honō no Challenge: Denryū IraIra Bō - Any%,356.65
The Combatribes,Any%,The Combatribes - Any%,626.42
Justice League Task Force,Any%,Justice League Task Force - Any%,519.63
Inversion,Extra world,Inversion - Extra world,76.44
Pac-Man World 2,Any%,Pac-Man World 2 - Any%,2365.07
Inversion,Any%,Inversion - Any%,318.91
Dragon Warrior IV,Any%,Dragon Warrior IV - Any%,7086.28
DinoCity,Any%,DinoCity - Any%,1076.39
Kyouryuu Sentai Juuranger,Any%,Kyouryuu Sentai Juuranger - Any%,389.48
Front Mission Series: Gun Hazard,Any%,Front Mission Series: Gun Hazard - Any%,7575.37
Mission: Impossible,Any%,Mission: Impossible - Any%,1407.52
Doraemon: Midori no Wakusei Dokidoki Daikyuushutsu!,Any%,Doraemon: Midori no Wakusei Dokidoki Daikyuushutsu! - Any%,1567.67
Vegas Dream,Any%,Vegas Dream - Any%,50.28
Metroid: Zero Mission,Any%,Metroid: Zero Mission - Any%,1928.09
Joe & Mac 2: Lost in the Tropics,Any%,Joe & Mac 2: Lost in the Tropics - Any%,1171.22
007: Agent Under Fire,00 Agent,007: Agent Under Fire - 00 Agent,2210.07
Gimmick!,Any%,Gimmick! - Any%,264.61
Q Boy,Any%,Q Boy - Any%,1841.75
Fighter Destiny 2,Any%,Fighter Destiny 2 - Any%,99.97
Metal Gear Solid: Integral,Any%,Metal Gear Solid: Integral - Any%,3751.06
Metal Gear Solid,Any%,Metal Gear Solid - Any%,3921.05
Wolfenstein 3D,Episode 3,Wolfenstein 3D - Episode 3,167.26
Metal Gear Solid: Integral,all bosses,Metal Gear Solid: Integral - all bosses,5282.29
Pokémon Stadium,Gym Leader Castle,Pokémon Stadium - Gym Leader Castle,4136.78
Red Alarm,Any%,Red Alarm - Any%,847.54
Dottori Kun,Any%,Dottori Kun - Any%,258.42
Spider-Man 3,Any%,Spider-Man 3 - Any%,824.01
Tekken,Any%,Tekken - Any%,100.0
Eek! The Cat,Any%,Eek! The Cat - Any%,999.67
Alex Kidd in Miracle World,Any%,Alex Kidd in Miracle World - Any%,591.29
Sonic 3 & Amy Rose,Any%,Sonic 3 & Amy Rose - Any%,1767.58
Virtual Boy Wario Land,best ending,Virtual Boy Wario Land - best ending,1313.28
Mega Man X,Any%,Mega Man X - Any%,1748.45
Lee Trevino's Fighting Golf,Any%,Lee Trevino's Fighting Golf - Any%,505.17
Joe & Mac,Any%,Joe & Mac - Any%,390.54
Palamedes II: Star Twinkles,Quest Mode 1,Palamedes II: Star Twinkles - Quest Mode 1,220.27
Sonic Advance 2,Any%,Sonic Advance 2 - Any%,1061.1
Rockin' Kats,Channel X,Rockin' Kats - Channel X,62.88
Wonder Boy III: The Dragon's Trap,Any%,Wonder Boy III: The Dragon's Trap - Any%,1304.16
Metal Storm,Any%,Metal Storm - Any%,680.1
Gummy Bears Minigolf,Any%,Gummy Bears Minigolf - Any%,747.13
The Adventures of Bayou Billy,Any%,The Adventures of Bayou Billy - Any%,967.77
Osman,"maximum score, deathless","Osman - maximum score, deathless",573.18
Super Star Wars: The Empire Strikes Back,Any%,Super Star Wars: The Empire Strikes Back - Any%,1811.8
Todd McFarlane's Spawn: The Video Game,Any%,Todd McFarlane's Spawn: The Video Game - Any%,1203.65
Cosmo Police: Galivan,game end glitch,Cosmo Police: Galivan - game end glitch,183.56
Pokémon: Blue and Red ,Coop Diploma,Pokémon: Blue and Red  - Coop Diploma,13684.1
Iron Man,Any%,Iron Man - Any%,393.59
Donkey Kong Country 3: Dixie Kong's Double Trouble!,105%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - 105%,6099.8
Mega Man Zero 4,Any%,Mega Man Zero 4 - Any%,2227.48
Gunstar Super Heroes,Any%,Gunstar Super Heroes - Any%,1112.22
Pulseman,Any%,Pulseman - Any%,1516.02
Disney's Pinocchio,Any%,Disney's Pinocchio - Any%,985.28
North & South,all states,North & South - all states,209.17
The Legend of Zelda: Oracle of Ages,Any%,The Legend of Zelda: Oracle of Ages - Any%,4844.32
Castlevania: Harmony of Dissonance,"Maxim, all bosses","Castlevania: Harmony of Dissonance - Maxim, all bosses",347.68
Castlevania: Harmony of Dissonance,"Maxim, in bounds","Castlevania: Harmony of Dissonance - Maxim, in bounds",765.68
Zook Hero Z,Any%,Zook Hero Z - Any%,1914.85
Battletoads,"warpless, 1 player","Battletoads - warpless, 1 player",1298.38
Gremlins 2: The New Batch,Any%,Gremlins 2: The New Batch - Any%,407.7
Doki! Doki! Yuuenchi,Any%,Doki! Doki! Yuuenchi - Any%,802.83
Postman Pat and the Greendale Rocket,100%,Postman Pat and the Greendale Rocket - 100%,1710.1
Samurai Shodown IV: Amakusa's Revenge,playaround,Samurai Shodown IV: Amakusa's Revenge - playaround,1036.35
Kaizo Mario Bros. 3,Any%,Kaizo Mario Bros. 3 - Any%,882.71
Pocket Monster II,Any%,Pocket Monster II - Any%,235.75
The Legend of Galahad,Any%,The Legend of Galahad - Any%,1070.16
Pipe Dream,Any%,Pipe Dream - Any%,195.23
Guilty Gear Petit 2,Any%,Guilty Gear Petit 2 - Any%,150.88
Mega Man 10,Mega Man,Mega Man 10 - Mega Man,2022.37
Mario Party Advance,Any%,Mario Party Advance - Any%,6047.93
Sonic Battle,Challenge Mode,Sonic Battle - Challenge Mode,342.97
Tony Hawk's Underground 2,Classic - Normal,Tony Hawk's Underground 2 - Classic - Normal,224.48
Dragon Ball Z: The Legacy of Goku,Any%,Dragon Ball Z: The Legacy of Goku - Any%,826.29
Chakan: The Forever Man,100%,Chakan: The Forever Man - 100%,1042.93
Wolfenstein 3D,Episode 2,Wolfenstein 3D - Episode 2,172.7
Mappy,Any%,Mappy - Any%,363.08
Sonic Advance 3,Any%,Sonic Advance 3 - Any%,2102.1
Battle Dodge Ball,game end glitch,Battle Dodge Ball - game end glitch,56.21
Lupin Sansei: Pandora no Isan,Any%,Lupin Sansei: Pandora no Isan - Any%,622.79
Elevator Action,Any%,Elevator Action - Any%,407.33
Dragon Warrior III,item glitch,Dragon Warrior III - item glitch,2469.52
Luigi's Mansion,Any%,Luigi's Mansion - Any%,3261.7
Tony Hawk's Pro Skater 3,All Goals and Golds,Tony Hawk's Pro Skater 3 - All Goals and Golds,517.63
The Adventures of Pinocchio,Any%,The Adventures of Pinocchio - Any%,463.71
Oil's Well,Any%,Oil's Well - Any%,207.64
Digger T. Rock: Legend of the Lost City,Any%,Digger T. Rock: Legend of the Lost City - Any%,206.06
Wolfenstein 3D,Episode 1,Wolfenstein 3D - Episode 1,161.42
The Adventures of Captain Comic,Any%,The Adventures of Captain Comic - Any%,450.29
Hokuto no Ken,Any%,Hokuto no Ken - Any%,306.94
The King Of Fighters '97,playaround,The King Of Fighters '97 - playaround,900.83
The Pirates of Dark Water,Any%,The Pirates of Dark Water - Any%,854.92
Pwn Adventure Z,save glitch,Pwn Adventure Z - save glitch,90.87
Bubsy 3D,Any%,Bubsy 3D - Any%,1385.28
Super Street Fighter II Turbo,playaround,Super Street Fighter II Turbo - playaround,1165.52
Super Street Fighter II,Zangief,Super Street Fighter II - Zangief,681.47
Super Street Fighter II,Ken,Super Street Fighter II - Ken,692.43
Mega Man 6,Any%,Mega Man 6 - Any%,1809.7
Quarth,Any%,Quarth - Any%,56.66
Tony Hawk's Pro Skater 3,Any%,Tony Hawk's Pro Skater 3 - Any%,329.33
Lucky Luke: Desperado Train,Any%,Lucky Luke: Desperado Train - Any%,1486.84
Altered Space: A 3-D Alien Adventure,Any%,Altered Space: A 3-D Alien Adventure - Any%,204.26
Superman,Any%,Superman - Any%,872.54
The Mask,Any%,The Mask - Any%,326.55
Out to Lunch,Any%,Out to Lunch - Any%,878.74
The Blues Brothers,Any%,The Blues Brothers - Any%,186.51
SoulCalibur II,Any%,SoulCalibur II - Any%,124.67
Super Mario Bros. 3,arbitrary code execution,Super Mario Bros. 3 - arbitrary code execution,496.23
Rosenkreuzstilette,Grolla,Rosenkreuzstilette - Grolla,1528.53
Borderline,Any%,Borderline - Any%,66.99
Rosenkreuzstilette,Spiritia,Rosenkreuzstilette - Spiritia,1681.15
Warsong,Any%,Warsong - Any%,7448.31
Warcraft II: The Dark Saga,Orc Expansion,Warcraft II: The Dark Saga - Orc Expansion,4227.57
Star Trek: Invasion,Any%,Star Trek: Invasion - Any%,2305.05
Spider-Man: Shattered Dimensions,all items,Spider-Man: Shattered Dimensions - all items,2060.91
Tetris 2 + BomBliss,Puzzle Mode,Tetris 2 + BomBliss - Puzzle Mode,1447.13
Commander Keen: Keen Dreams,Any%,Commander Keen: Keen Dreams - Any%,255.13
Rockman Complete Works: Rockman 2,Any%,Rockman Complete Works: Rockman 2 - Any%,1660.84
Super Mario Bros. 3,warpless,Super Mario Bros. 3 - warpless,2780.3
Monster House,Any%,Monster House - Any%,352.32
Snake Rattle N Roll,"warpless, 2 players","Snake Rattle N Roll - warpless, 2 players",412.65
Liquid Kids,warps,Liquid Kids - warps,501.2
Bishi Bashi Special,"Time Trial, maximum score","Bishi Bashi Special - Time Trial, maximum score",337.75
Spider-Man: Shattered Dimensions,Any%,Spider-Man: Shattered Dimensions - Any%,1575.1
G.I. Joe: The Atlantis Factor,Any%,G.I. Joe: The Atlantis Factor - Any%,435.28
Sonic Advance 2,Knuckles,Sonic Advance 2 - Knuckles,1232.08
Demon's Crest,100%,Demon's Crest - 100%,2087.23
Ys III: Wanderers from Ys,Any%,Ys III: Wanderers from Ys - Any%,2435.79
Darkman,Any%,Darkman - Any%,564.47
Dr. Jekyll and Mr. Hyde,Any%,Dr. Jekyll and Mr. Hyde - Any%,1011.25
Mega Man 4,Any%,Mega Man 4 - Any%,1922.6
Denki Blocks!,100%,Denki Blocks! - 100%,5047.68
Denki Blocks!,Any%,Denki Blocks! - Any%,1787.18
Pac-In-Time,Any%,Pac-In-Time - Any%,1651.45
Disney's The Lion King 1 1/2,100%,Disney's The Lion King 1 1/2 - 100%,2398.44
Sesame Street Countdown,Any%,Sesame Street Countdown - Any%,188.57
Mortal Kombat II,Any%,Mortal Kombat II - Any%,548.75
Mickey Mousecapade,Any%,Mickey Mousecapade - Any%,436.58
Xexyz,Any%,Xexyz - Any%,1423.62
StarTropics,Any%,StarTropics - Any%,3692.37
Mario vs. Donkey Kong,Any%,Mario vs. Donkey Kong - Any%,2243.32
Super Monkey Ball,Expert through Master,Super Monkey Ball - Expert through Master,775.18
The Guardian Legend,Any%,The Guardian Legend - Any%,2558.15
Ganbare Goemon 2,Any%,Ganbare Goemon 2 - Any%,2132.05
Valkyrie no Bouken: Toki no Kagi Densetsu,Any%,Valkyrie no Bouken: Toki no Kagi Densetsu - Any%,372.35
Cheese Cat-Astrophe Starring Speedy Gonzales,Any%,Cheese Cat-Astrophe Starring Speedy Gonzales - Any%,787.26
Barbie,Any%,Barbie - Any%,725.34
Cratermaze,Any%,Cratermaze - Any%,3533.94
James Bond 007: The Duel,Any%,James Bond 007: The Duel - Any%,565.08
Doom II: Hell on Earth,Kama Sutra,Doom II: Hell on Earth - Kama Sutra,656.09
Mega Man X2,Any%,Mega Man X2 - Any%,1866.34
Super Mario Bros.,maximum coins,Super Mario Bros. - maximum coins,1570.25
Blockout,Any%,Blockout - Any%,194.81
Garfield and His Nine Lives,Any%,Garfield and His Nine Lives - Any%,607.79
Bram Stoker's Dracula,Any%,Bram Stoker's Dracula - Any%,705.74
Mega Man 9,Any%,Mega Man 9 - Any%,1820.98
Super Mario World: The Second Reality Project Reloaded,Any%,Super Mario World: The Second Reality Project Reloaded - Any%,2065.93
Trip World,Any%,Trip World - Any%,310.91
Secret of Evermore,Any%,Secret of Evermore - Any%,4507.64
Ice Climber,Any%,Ice Climber - Any%,1106.39
Umihara Kawase Shun,Any%,Umihara Kawase Shun - Any%,138.75
Kingdom Hearts: Chain of Memories,Reverse/Rebirth,Kingdom Hearts: Chain of Memories - Reverse/Rebirth,2868.03
Mickey no Tokyo Disneyland Daibouken,Any%,Mickey no Tokyo Disneyland Daibouken - Any%,1235.46
Pokémon Puzzle Challenge,Any%,Pokémon Puzzle Challenge - Any%,311.62
Johnny Test,Any%,Johnny Test - Any%,1195.68
Dementium: The Ward,Any%,Dementium: The Ward - Any%,2216.56
Super Puzzle Fighter II Turbo,Any%,Super Puzzle Fighter II Turbo - Any%,428.15
The Flintstones,Any%,The Flintstones - Any%,1025.99
Super Star Wars: Return of the Jedi,Any%,Super Star Wars: Return of the Jedi - Any%,1397.12
Nobunaga's Ambition,Any%,Nobunaga's Ambition - Any%,726.37
Sonic Advance,"Tails, no Ultraspindash","Sonic Advance - Tails, no Ultraspindash",813.54
Fester's Quest,Any%,Fester's Quest - Any%,1178.81
Bubsy in Claws Encounters of the Furred Kind,Any%,Bubsy in Claws Encounters of the Furred Kind - Any%,827.57
ActRaiser 2,Any%,ActRaiser 2 - Any%,2357.83
Balloon Fight,Any%,Balloon Fight - Any%,159.62
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,Any%,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!! - Any%,2924.36
Daffy Duck: The Marvin Missions,Any%,Daffy Duck: The Marvin Missions - Any%,89.44
Contra: Hard Corps,secret ending,Contra: Hard Corps - secret ending,297.42
Metal Slug 7,Any%,Metal Slug 7 - Any%,1209.56
Metal Slug 7,Marco,Metal Slug 7 - Marco,1390.7
Kingdom Hearts 358/2 Days,Any%,Kingdom Hearts 358/2 Days - Any%,9217.01
Tom & Jerry,Any%,Tom & Jerry - Any%,692.16
Coca Cola Kid,Any%,Coca Cola Kid - Any%,506.47
Zaxxon,Any%,Zaxxon - Any%,115.89
Atlantis: The Lost Empire,Any%,Atlantis: The Lost Empire - Any%,663.85
Beyblade: Metal Masters,Any%,Beyblade: Metal Masters - Any%,450.4
Kid Dracula,Any%,Kid Dracula - Any%,1123.57
Super Monkey Ball Jr.,Master,Super Monkey Ball Jr. - Master,109.31
Streemerz: Super Strength Emergency Squad Zeta,Streeeeemerz Mode,Streemerz: Super Strength Emergency Squad Zeta - Streeeeemerz Mode,303.33
Kabuki Quantum Fighter,Any%,Kabuki Quantum Fighter - Any%,554.19
Danan: The Jungle Fighter,Any%,Danan: The Jungle Fighter - Any%,438.15
Bishi Bashi Special 2,Hyper Bishi Bashi Champ,Bishi Bashi Special 2 - Hyper Bishi Bashi Champ,574.82
Mortal Kombat Mythologies: Sub-Zero,Any%,Mortal Kombat Mythologies: Sub-Zero - Any%,1557.93
Zapper: One Wicked Cricket!,Any%,Zapper: One Wicked Cricket! - Any%,1007.77
Splatterhouse: Wanpaku Graffiti,best ending,Splatterhouse: Wanpaku Graffiti - best ending,1151.24
Castlevania: Dracula X,best ending,Castlevania: Dracula X - best ending,836.12
Resident Evil: Deadly Silence,Any%,Resident Evil: Deadly Silence - Any%,1724.68
Touch! Gostop DS,100%,Touch! Gostop DS - 100%,1035.72
Riddle of the Sphinx,Any%,Riddle of the Sphinx - Any%,97.41
Apple Cider Spider,Any%,Apple Cider Spider - Any%,104.2
Run Saber,Any%,Run Saber - Any%,785.27
Kingdom Hearts: Chain of Memories,Any%,Kingdom Hearts: Chain of Memories - Any%,4749.77
Disney's The Jungle Book,Any%,Disney's The Jungle Book - Any%,881.25
Final Fantasy II,game end glitch,Final Fantasy II - game end glitch,452.37
Syobon Action,World 2,Syobon Action - World 2,130.7
Ninja Golf,Any%,Ninja Golf - Any%,689.67
Super Pitfall,Any%,Super Pitfall - Any%,282.04
Ys: The Vanished Omens,game end glitch,Ys: The Vanished Omens - game end glitch,17.11
The Ultimate Doom,Episode 4,The Ultimate Doom - Episode 4,155.76
Castle of Dragon,Any%,Castle of Dragon - Any%,388.44
Pokémon: Pearl ,Void glitch,Pokémon: Pearl  - Void glitch,3181.39
You Have to Burn the Rope DS,Any%,You Have to Burn the Rope DS - Any%,25.88
Lufia II: Rise of the Sinistrals,game end glitch,Lufia II: Rise of the Sinistrals - game end glitch,57.36
Ninja Gaiden,warpless,Ninja Gaiden - warpless,558.38
The Oregon Trail,Any%,The Oregon Trail - Any%,504.63
Final Fantasy V,Any%,Final Fantasy V - Any%,12357.13
Lemmings,best ending,Lemmings - best ending,3784.45
Tony Hawk's Underground 2,Any%,Tony Hawk's Underground 2 - Any%,506.17
Pingu: Sekai de Ichiban Genki na Penguin,Any%,Pingu: Sekai de Ichiban Genki na Penguin - Any%,600.71
The Ultimate Doom,Episode 3,The Ultimate Doom - Episode 3,196.38
Jurassic Park,Any%,Jurassic Park - Any%,1432.87
Frankenstein: The Monster Returns,Any%,Frankenstein: The Monster Returns - Any%,579.48
Castlevania: Aria of Sorrow,Julius all bosses,Castlevania: Aria of Sorrow - Julius all bosses,712.03
Bananan Ouji no Daibouken,Any%,Bananan Ouji no Daibouken - Any%,570.16
Club Penguin: Elite Penguin Force: Herbert's Revenge,Any%,Club Penguin: Elite Penguin Force: Herbert's Revenge - Any%,1660.1
Fist of The North Star,Any%,Fist of The North Star - Any%,441.76
Last Action Hero,Any%,Last Action Hero - Any%,663.48
The Addams Family,warp glitch,The Addams Family - warp glitch,89.51
The Last Ninja,Any%,The Last Ninja - Any%,481.11
The Legend of Zelda,"2nd quest, game end glitch","The Legend of Zelda - 2nd quest, game end glitch",186.46
Wizards & Warriors III: Kuros: Visions of Power,Any%,Wizards & Warriors III: Kuros: Visions of Power - Any%,1045.61
Gauntlet,Any%,Gauntlet - Any%,698.92
Master Karateka,Any%,Master Karateka - Any%,159.96
Captain America and The Avengers,Any%,Captain America and The Avengers - Any%,857.27
Bishi Bashi Special 3: Step Champ,"Track & Field, maximum score","Bishi Bashi Special 3: Step Champ - Track & Field, maximum score",161.27
The Adventures of Rad Gravity,Any%,The Adventures of Rad Gravity - Any%,1005.69
Jackie Chan's Action Kung Fu,Any%,Jackie Chan's Action Kung Fu - Any%,992.75
Survival Kids,best ending,Survival Kids - best ending,1678.59
Rad Racer,Any%,Rad Racer - Any%,1232.89
RoboCop,Any%,RoboCop - Any%,589.68
Flashback: The Quest for Identity,Any%,Flashback: The Quest for Identity - Any%,1349.99
Super Smash Bros.,Any%,Super Smash Bros. - Any%,325.43
Kir,100%,Kir - 100%,2594.97
Atlantis no Nazo,Any%,Atlantis no Nazo - Any%,140.12
The Lost Vikings,Any%,The Lost Vikings - Any%,1649.34
Landstalker,100%,Landstalker - 100%,8441.89
Ikaruga,maximum score,Ikaruga - maximum score,1289.4
Super Mario Bros. 3,all levels,Super Mario Bros. 3 - all levels,3876.9
Wally Bear and the NO! Gang,Any%,Wally Bear and the NO! Gang - Any%,383.25
Donkey Kong 5: The Journey of Over Time and Space,Any%,Donkey Kong 5: The Journey of Over Time and Space - Any%,288.54
The Legend of Spyro: The Eternal Night,Any%,The Legend of Spyro: The Eternal Night - Any%,1557.76
The Ultimate Doom,Episode 2,The Ultimate Doom - Episode 2,202.01
Over the Hedge,Any%,Over the Hedge - Any%,1065.64
Umihara Kawase,sightseeing,Umihara Kawase - sightseeing,704.77
River Raid,Any%,River Raid - Any%,4967.9
River Raid,fastest 100000,River Raid - fastest 100000,490.65
Super Mario 74,all 151 stars,Super Mario 74 - all 151 stars,6584.52
Paper Mario,Any%,Paper Mario - Any%,5440.15
The Blues Brothers,1 player,The Blues Brothers - 1 player,951.25
The Blues Brothers,2 players,The Blues Brothers - 2 players,563.77
Radical Rex,Any%,Radical Rex - Any%,1145.9
Rayman: Hoodlums' Revenge,Any%,Rayman: Hoodlums' Revenge - Any%,824.53
Spelunker II: Yūsha e no Chōsen,Any%,Spelunker II: Yūsha e no Chōsen - Any%,912.05
Super Mario Bros. Deluxe,warps,Super Mario Bros. Deluxe - warps,295.99
Ultima: Quest of the Avatar,Any%,Ultima: Quest of the Avatar - Any%,3503.98
Pop'n TwinBee: Rainbow Bell Adventures,Any%,Pop'n TwinBee: Rainbow Bell Adventures - Any%,1308.71
Nanashi no Geemu,Any%,Nanashi no Geemu - Any%,3260.63
Orb-3D,Any%,Orb-3D - Any%,1270.86
Super Mario RPG: Legend of the Seven Stars,100%,Super Mario RPG: Legend of the Seven Stars - 100%,12802.13
Donkey Kong: Original Edition,all items,Donkey Kong: Original Edition - all items,93.83
Myst,Any%,Myst - Any%,67.16
Phantasy Star III: Generations of Doom,Any%,Phantasy Star III: Generations of Doom - Any%,5875.98
Pokémon: Ru,Any%,Pokémon: Ru - Any%,5505.43
Silent Scope,Any%,Silent Scope - Any%,221.98
Tetris Blast,Any%,Tetris Blast - Any%,237.98
Sid Meier's Railroad Tycoon,Any%,Sid Meier's Railroad Tycoon - Any%,39.93
Doug's Big Game,Any%,Doug's Big Game - Any%,219.91
Super Demo World: The Legend Continues,warps,Super Demo World: The Legend Continues - warps,1012.9
Dragon Unit,2 players,Dragon Unit - 2 players,167.48
Manic Miner,Any%,Manic Miner - Any%,795.73
Fantasy Zone II: The Tears of Opa-Opa,Any%,Fantasy Zone II: The Tears of Opa-Opa - Any%,355.44
Secret of Mana,game end glitch,Secret of Mana - game end glitch,495.5
The Simpsons: Bart vs. the Space Mutants,Any%,The Simpsons: Bart vs. the Space Mutants - Any%,778.9
A Boy and His Blob: The Rescue of Princess Blobette,Any%,A Boy and His Blob: The Rescue of Princess Blobette - Any%,101.73
Teenage Mutant Ninja Turtles IV: Turtles in Time,Any%,Teenage Mutant Ninja Turtles IV: Turtles in Time - Any%,1135.0
Sonic the Hedgehog CD,Any%,Sonic the Hedgehog CD - Any%,1024.27
Metal Force,Any%,Metal Force - Any%,789.6
CD-Man Version 2.0,Any%,CD-Man Version 2.0 - Any%,3.71
Wizardry III: Legacy of Llylgamyn,game end glitch,Wizardry III: Legacy of Llylgamyn - game end glitch,12.86
Rubik's World,Any%,Rubik's World - Any%,80.23
Skate or Die 2: The Search for Double Trouble,Any%,Skate or Die 2: The Search for Double Trouble - Any%,628.37
Tennis,Any%,Tennis - Any%,291.42
BreakThru,Any%,BreakThru - Any%,395.65
Pocky & Rocky,Any%,Pocky & Rocky - Any%,1120.17
Metal Slug,Any%,Metal Slug - Any%,610.18
The Humans,Any%,The Humans - Any%,2599.22
